wordform	normal_form	POS	animacy	aspect	case	gender	involvement	mood	number	person	tense	transitivity	voice
это	это	PRCL	None	None	None	None	None	None	None	None	None	None	None
серенькое	серенький	ADJF	None	None	nomn	neut	None	None	sing	None	None	None	None
пятнышко	пятнышко	NOUN	inan	None	nomn	neut	None	None	sing	None	None	None	None
как	как	CONJ	None	None	None	None	None	None	None	None	None	None	None
туча	туча	NOUN	inan	None	nomn	femn	None	None	sing	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
от	от	PREP	None	None	None	None	None	None	None	None	None	None	None
него	он	NPRO	None	None	gent	masc	None	None	sing	3per	None	None	None
всё	весь	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
свинцовее	свинцовый	COMP	None	None	None	None	None	None	None	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
всё	весь	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
темнее	тёмный	COMP	None	None	None	None	None	None	None	None	None	None	None
или	или	CONJ	None	None	None	None	None	None	None	None	None	None	None
это	это	PRCL	None	None	None	None	None	None	None	None	None	None	None
опять	опять	ADVB	None	None	None	None	None	None	None	None	None	None	None
душа	душить	GRND	None	impf	None	None	None	None	None	None	pres	tran	None
письмо	письмо	NOUN	inan	None	accs	neut	None	None	sing	None	None	None	None
вы	вы	NPRO	None	None	nomn	None	None	None	plur	2per	None	None	None
знаете	знаете	CONJ	None	None	None	None	None	None	None	None	None	None	None
или	или	CONJ	None	None	None	None	None	None	None	None	None	None	None
может	мочь	VERB	None	impf	None	None	None	indc	sing	3per	pres	intr	None
быть	быть	INFN	None	impf	None	None	None	None	None	None	None	intr	None
вы	вы	NPRO	None	None	nomn	None	None	None	plur	2per	None	None	None
не	не	PRCL	None	None	None	None	None	None	None	None	None	None	None
знаете	знаете	CONJ	None	None	None	None	None	None	None	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
не	не	PRCL	None	None	None	None	None	None	None	None	None	None	None
могу	мочь	VERB	None	impf	None	None	None	indc	sing	1per	pres	intr	None
как	как	CONJ	None	None	None	None	None	None	None	None	None	None	None
следует	следовать	VERB	None	impf	None	None	None	indc	sing	3per	pres	intr	None
писать	писать	INFN	None	impf	None	None	None	None	None	None	None	tran	None
всё	весь	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
равно	равно	CONJ	None	None	None	None	None	None	None	None	None	None	None
сейчас	сейчас	ADVB	None	None	None	None	None	None	None	None	None	None	None
вы	вы	NPRO	None	None	nomn	None	None	None	plur	2per	None	None	None
знаете	знаете	CONJ	None	None	None	None	None	None	None	None	None	None	None
что	что	CONJ	None	None	None	None	None	None	None	None	None	None	None
без	без	PREP	None	None	None	None	None	None	None	None	None	None	None
вас	вы	NPRO	None	None	accs	None	None	None	plur	2per	None	None	None
у	у	PREP	None	None	None	None	None	None	None	None	None	None	None
меня	я	NPRO	None	None	accs	None	None	None	sing	1per	None	None	None
не	не	PRCL	None	None	None	None	None	None	None	None	None	None	None
будет	быть	VERB	None	impf	None	None	None	indc	sing	3per	futr	intr	None
ни	ни	PRCL	None	None	None	None	None	None	None	None	None	None	None
одного	один	ADJF	None	None	gent	neut	None	None	sing	None	None	None	None
дня	день	NOUN	inan	None	gent	masc	None	None	sing	None	None	None	None
ни	ни	PRCL	None	None	None	None	None	None	None	None	None	None	None
одного	один	ADJF	None	None	gent	neut	None	None	sing	None	None	None	None
утра	утро	NOUN	inan	None	gent	neut	None	None	sing	None	None	None	None
ни	ни	PRCL	None	None	None	None	None	None	None	None	None	None	None
одной	один	ADJF	None	None	gent	femn	None	None	sing	None	None	None	None
вёсны	весна	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
потому	потому	ADVB	None	None	None	None	None	None	None	None	None	None	None
что	что	CONJ	None	None	None	None	None	None	None	None	None	None	None
r	r	None	None	None	None	None	None	None	None	None	None	None	None
для	для	PREP	None	None	None	None	None	None	None	None	None	None	None
меня	я	NPRO	None	None	accs	None	None	None	sing	1per	None	None	None
только	только	PRCL	None	None	None	None	None	None	None	None	None	None	None
ну	ну	PRCL	None	None	None	None	None	None	None	None	None	None	None
да	да	PRCL	None	None	None	None	None	None	None	None	None	None	None
это	это	PRCL	None	None	None	None	None	None	None	None	None	None	None
не	не	PRCL	None	None	None	None	None	None	None	None	None	None	None
важно	важный	ADJS	None	None	None	neut	None	None	sing	None	None	None	None
вам	вы	NPRO	None	None	datv	None	None	None	plur	2per	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
ему	он	NPRO	None	None	datv	masc	None	None	sing	3per	None	None	None
во	в	PREP	None	None	None	None	None	None	None	None	None	None	None
всяком	всякий	ADJF	None	None	loct	masc	None	None	sing	None	None	None	None
случае	случай	NOUN	inan	None	loct	masc	None	None	sing	None	None	None	None
очень	очень	ADVB	None	None	None	None	None	None	None	None	None	None	None
благодарна	благодарный	ADJS	None	None	None	femn	None	None	sing	None	None	None	None
одна	один	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
без	без	PREP	None	None	None	None	None	None	None	None	None	None	None
него	он	NPRO	None	None	gent	masc	None	None	sing	3per	None	None	None
эти	этот	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
дни	день	NOUN	inan	None	accs	masc	None	None	plur	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
бы	бы	PRCL	None	None	None	None	None	None	None	None	None	None	None
не	не	PRCL	None	None	None	None	None	None	None	None	None	None	None
знаю	знать	VERB	None	impf	None	None	None	indc	sing	1per	pres	tran	None
что	что	CONJ	None	None	None	None	None	None	None	None	None	None	None
за	за	PREP	None	None	None	None	None	None	None	None	None	None	None
эти	этот	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
дни	день	NOUN	inan	None	accs	masc	None	None	plur	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
ночи	ночь	NOUN	inan	None	loc2	femn	None	None	sing	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
прожила	прожить	VERB	None	perf	None	femn	None	indc	sing	None	past	tran	None
десять	десять	NUMR	None	None	nomn	None	None	None	None	None	None	None	None
или	или	CONJ	None	None	None	None	None	None	None	None	None	None	None
может	мочь	VERB	None	impf	None	None	None	indc	sing	3per	pres	intr	None
быть	быть	INFN	None	impf	None	None	None	None	None	None	None	intr	None
двадцать	двадцать	NUMR	None	None	nomn	None	None	None	None	None	None	None	None
лёт	год	NOUN	inan	None	gent	masc	None	None	plur	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
будто	будто	CONJ	None	None	None	None	None	None	None	None	None	None	None
комната	комната	NOUN	inan	None	nomn	femn	None	None	sing	None	None	None	None
у	у	PREP	None	None	None	None	None	None	None	None	None	None	None
меня	я	NPRO	None	None	accs	None	None	None	sing	1per	None	None	None
не	не	PRCL	None	None	None	None	None	None	None	None	None	None	None
четырехугольная	четырехугольный	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
а	а	CONJ	None	None	None	None	None	None	None	None	None	None	None
круглая	круглый	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
без	без	PREP	None	None	None	None	None	None	None	None	None	None	None
конца	конец	NOUN	inan	None	gent	masc	None	None	sing	None	None	None	None
кругом	кругом	ADVB	None	None	None	None	None	None	None	None	None	None	None
кругом	кругом	ADVB	None	None	None	None	None	None	None	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
всё	весь	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
одно	один	ADJF	None	None	accs	neut	None	None	sing	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
то	то	CONJ	None	None	None	None	None	None	None	None	None	None	None
же	же	PRCL	None	None	None	None	None	None	None	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
нигде	нигде	ADVB	None	None	None	None	None	None	None	None	None	None	None
никаких	никакой	ADJF	None	None	gent	None	None	None	plur	None	None	None	None
дверей	дверь	NOUN	inan	None	gent	femn	None	None	plur	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
не	не	PRCL	None	None	None	None	None	None	None	None	None	None	None
могу	мочь	VERB	None	impf	None	None	None	indc	sing	1per	pres	intr	None
без	без	PREP	None	None	None	None	None	None	None	None	None	None	None
вас	вы	NPRO	None	None	accs	None	None	None	plur	2per	None	None	None
потому	потому	ADVB	None	None	None	None	None	None	None	None	None	None	None
что	что	CONJ	None	None	None	None	None	None	None	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
вас	вы	NPRO	None	None	accs	None	None	None	plur	2per	None	None	None
люблю	любить	VERB	None	impf	None	None	None	indc	sing	1per	pres	tran	None
потому	потому	ADVB	None	None	None	None	None	None	None	None	None	None	None
что	что	CONJ	None	None	None	None	None	None	None	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
вижу	видеть	VERB	None	impf	None	None	None	indc	sing	1per	pres	tran	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
понимаю	понимать	VERB	None	impf	None	None	None	indc	sing	1per	pres	tran	None
вам	вы	NPRO	None	None	datv	None	None	None	plur	2per	None	None	None
теперь	теперь	ADVB	None	None	None	None	None	None	None	None	None	None	None
никто	никто	NPRO	None	None	nomn	None	None	None	sing	None	None	None	None
никто	никто	NPRO	None	None	nomn	None	None	None	sing	None	None	None	None
на	на	PREP	None	None	None	None	None	None	None	None	None	None	None
свете	свет	NOUN	inan	None	loct	masc	None	None	sing	None	None	None	None
не	не	PRCL	None	None	None	None	None	None	None	None	None	None	None
нужен	нужный	ADJS	None	None	None	masc	None	None	sing	None	None	None	None
кроме	кроме	PREP	None	None	None	None	None	None	None	None	None	None	None
той	тот	ADJF	None	None	ablt	femn	None	None	sing	None	None	None	None
другой	другой	ADJF	None	None	gent	femn	None	None	sing	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
понимаете	понимать	VERB	None	impf	None	None	None	indc	plur	2per	pres	tran	None
именно	именно	PRCL	None	None	None	None	None	None	None	None	None	None	None
если	если	CONJ	None	None	None	None	None	None	None	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
вас	вы	NPRO	None	None	accs	None	None	None	plur	2per	None	None	None
люблю	любить	VERB	None	impf	None	None	None	indc	sing	1per	pres	tran	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
должна	должный	ADJS	None	None	None	femn	None	None	sing	None	None	None	None
мне	я	NPRO	None	None	datv	None	None	None	sing	1per	None	None	None
нужно	нужно	PRED	None	None	None	None	None	None	None	None	pres	None	None
ещё	ещё	PRCL	None	None	None	None	None	None	None	None	None	None	None
только	только	PRCL	None	None	None	None	None	None	None	None	None	None	None
два-три	два-три	NUMR	None	None	nomn	masc	None	None	None	None	None	None	None
дня	день	NOUN	inan	None	gent	masc	None	None	sing	None	None	None	None
чтобы	чтобы	CONJ	None	None	None	None	None	None	None	None	None	None	None
из	из	PREP	None	None	None	None	None	None	None	None	None	None	None
кусочков	кусочек	NOUN	inan	None	gent	masc	None	None	plur	None	None	None	None
меня	я	NPRO	None	None	accs	None	None	None	sing	1per	None	None	None
кой-как	кой-как	ADVB	None	None	None	None	None	None	None	None	None	None	None
склеить	склеить	INFN	None	perf	None	None	None	None	None	None	None	tran	None
хоть	хоть	CONJ	None	None	None	None	None	None	None	None	None	None	None
чуть	чуть	ADVB	None	None	None	None	None	None	None	None	None	None	None
похожее	похожий	ADJF	None	None	nomn	neut	None	None	sing	None	None	None	None
на	на	PREP	None	None	None	None	None	None	None	None	None	None	None
прежнюю	прежний	ADJF	None	None	accs	femn	None	None	sing	None	None	None	None
о-90	о-90	None	None	None	None	None	None	None	None	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
я	я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
пойду	пойти	VERB	None	perf	None	None	None	indc	sing	1per	futr	intr	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
сделаю	сделать	VERB	None	perf	None	None	None	indc	sing	1per	futr	tran	None
сама	сам	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
заявление	заявление	NOUN	inan	None	accs	neut	None	None	sing	None	None	None	None
что	что	CONJ	None	None	None	None	None	None	None	None	None	None	None
снимаю	снимать	VERB	None	impf	None	None	None	indc	sing	1per	pres	tran	None
свою	свой	ADJF	None	None	accs	femn	None	None	sing	None	None	None	None
запись	запись	NOUN	inan	None	nomn	femn	None	None	sing	None	None	None	None
на	на	PREP	None	None	None	None	None	None	None	None	None	None	None
вас	вы	NPRO	None	None	accs	None	None	None	plur	2per	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
вам	вы	NPRO	None	None	datv	None	None	None	plur	2per	None	None	None
должно	должный	ADJS	None	None	None	neut	None	None	sing	None	None	None	None
быть	быть	INFN	None	impf	None	None	None	None	None	None	None	intr	None
лучше	хороший	COMP	None	None	None	None	None	None	None	None	None	None	None
вам	вы	NPRO	None	None	datv	None	None	None	plur	2per	None	None	None
должно	должный	ADJS	None	None	None	neut	None	None	sing	None	None	None	None
быть	быть	INFN	None	impf	None	None	None	None	None	None	None	intr	None
хорошо	хорошо	ADVB	None	None	None	None	None	None	None	None	None	None	None
больше	большой	COMP	None	None	None	None	None	None	None	None	None	None	None
никогда	никогда	ADVB	None	None	None	None	None	None	None	None	None	None	None
не	не	PRCL	None	None	None	None	None	None	None	None	None	None	None
буду	быть	VERB	None	impf	None	None	None	indc	sing	1per	futr	intr	None
простите.	простите.	None	None	None	None	None	None	None	None	None	None	None	None
больше	большой	COMP	None	None	None	None	None	None	None	None	None	None	None
никогда	никогда	ADVB	None	None	None	None	None	None	None	None	None	None	None
так	так	CONJ	None	None	None	None	None	None	None	None	None	None	None
конечно	конечно	CONJ	None	None	None	None	None	None	None	None	None	None	None
лучше	хороший	COMP	None	None	None	None	None	None	None	None	None	None	None
она	она	NPRO	None	None	nomn	femn	None	None	sing	3per	None	None	None
права	право	NOUN	inan	None	gent	neut	None	None	sing	None	None	None	None
но	но	CONJ	None	None	None	None	None	None	None	None	None	None	None
отчего	отчего	CONJ	None	None	None	None	None	None	None	None	None	None	None
же	же	PRCL	None	None	None	None	None	None	None	None	None	None	None
отчего	отчего	CONJ	None	None	None	None	None	None	None	None	None	None	None
запись	запись	NOUN	inan	None	nomn	femn	None	None	sing	None	None	None	None
19-я	19-я	NPRO	None	None	nomn	None	None	None	sing	1per	None	None	None
конспект	конспект	NOUN	inan	None	accs	masc	None	None	sing	None	None	None	None
бесконечно	бесконечно	ADVB	None	None	None	None	None	None	None	None	None	None	None
малая	малый	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
третьего	третье	NOUN	inan	None	gent	neut	None	None	sing	None	None	None	None
порядка	порядок	NOUN	inan	None	gent	masc	None	None	sing	None	None	None	None
исподлобный	исподлобный	ADJF	None	None	nomn	masc	None	None	sing	None	None	None	None
через	через	PREP	None	None	None	None	None	None	None	None	None	None	None
парапет	парапет	NOUN	inan	None	nomn	masc	None	None	sing	None	None	None	None
там	там	ADVB	None	None	None	None	None	None	None	None	None	None	None
в	в	PREP	None	None	None	None	None	None	None	None	None	None	None
странном	странный	ADJF	None	None	loct	neut	None	None	sing	None	None	None	None
коридоре	коридор	NOUN	inan	None	loct	masc	None	None	sing	None	None	None	None
с	с	PREP	None	None	None	None	None	None	None	None	None	None	None
дрожащим	дрожать	PRTF	None	impf	ablt	masc	None	None	sing	None	pres	intr	actv
пунктиром	пунктир	NOUN	inan	None	ablt	masc	None	None	sing	None	None	None	None
тусклых	тусклый	ADJF	None	None	gent	None	None	None	plur	None	None	None	None
лампочек	лампочка	NOUN	inan	None	gent	femn	None	None	plur	None	None	None	None
или	или	CONJ	None	None	None	None	None	None	None	None	None	None	None
нет	нет	PRED	None	None	None	None	None	None	None	None	pres	None	None
нет	нет	PRED	None	None	None	None	None	None	None	None	pres	None	None
не	не	PRCL	None	None	None	None	None	None	None	None	None	None	None
там	там	ADVB	None	None	None	None	None	None	None	None	None	None	None
позже	поздний	COMP	None	None	None	None	None	None	None	None	None	None	None
когда	когда	CONJ	None	None	None	None	None	None	None	None	None	None	None
мы	мы	NPRO	None	None	nomn	None	None	None	plur	1per	None	None	None
уже	уже	ADVB	None	None	None	None	None	None	None	None	None	None	None
были	быть	VERB	None	impf	None	None	None	indc	plur	None	past	intr	None
с	с	PREP	None	None	None	None	None	None	None	None	None	None	None
нею	нея	NOUN	inan	None	accs	femn	None	None	sing	None	None	None	None
в	в	PREP	None	None	None	None	None	None	None	None	None	None	None
каком-то	какой-то	ADJF	None	None	loct	masc	None	None	sing	None	None	None	None
затерянном	затерянный	ADJF	None	None	loct	masc	None	None	sing	None	None	None	None
уголке	уголок	NOUN	inan	None	loct	masc	None	None	sing	None	None	None	None
на	на	PREP	None	None	None	None	None	None	None	None	None	None	None
дворе	двор	NOUN	inan	None	loct	masc	None	None	sing	None	None	None	None
древнего	древний	ADJF	None	None	gent	neut	None	None	sing	None	None	None	None
дома	дом	NOUN	inan	None	gent	masc	None	None	sing	None	None	None	None
она	она	NPRO	None	None	nomn	femn	None	None	sing	3per	None	None	None
сказала	сказать	VERB	None	perf	None	femn	None	indc	sing	None	past	tran	None
послезавтра	послезавтра	ADVB	None	None	None	None	None	None	None	None	None	None	None
это	это	PRCL	None	None	None	None	None	None	None	None	None	None	None
послезавтра	послезавтра	ADVB	None	None	None	None	None	None	None	None	None	None	None
сегодня	сегодня	ADVB	None	None	None	None	None	None	None	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
всё	весь	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
на	на	PREP	None	None	None	None	None	None	None	None	None	None	None
крыльях	крыло	NOUN	inan	None	loct	neut	None	None	plur	None	None	None	None
день	день	NOUN	inan	None	accs	masc	None	None	sing	None	None	None	None
летит	лететь	VERB	None	impf	None	None	None	indc	sing	3per	pres	intr	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
наш	наш	ADJF	None	None	nomn	masc	None	None	sing	None	None	None	None
интеграл	интеграл	NOUN	inan	None	accs	masc	None	None	sing	None	None	None	None
уже	уже	ADVB	None	None	None	None	None	None	None	None	None	None	None
крылатый	крылатый	ADJF	None	None	nomn	masc	None	None	sing	None	None	None	None
на	на	PREP	None	None	None	None	None	None	None	None	None	None	None
нём	немой	ADJS	None	None	None	masc	None	None	sing	None	None	None	None
кончили	кончить	VERB	None	perf	None	None	None	indc	plur	None	past	tran	None
установку	установка	NOUN	inan	None	accs	femn	None	None	sing	None	None	None	None
ракетного	ракетный	ADJF	None	None	gent	neut	None	None	sing	None	None	None	None
двигателя	двигатель	NOUN	inan	None	gent	masc	None	None	sing	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
сегодня	сегодня	ADVB	None	None	None	None	None	None	None	None	None	None	None
пробовали	пробовать	VERB	None	impf	None	None	None	indc	plur	None	past	tran	None
его	он	NPRO	None	None	accs	masc	None	None	sing	3per	None	None	None
вхолостую	вхолостую	ADVB	None	None	None	None	None	None	None	None	None	None	None
какие	какой	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
великолепные	великолепный	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
могучие	могучий	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
залпы	залп	NOUN	inan	None	nomn	masc	None	None	plur	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
для	для	PREP	None	None	None	None	None	None	None	None	None	None	None
меня	я	NPRO	None	None	accs	None	None	None	sing	1per	None	None	None
каждый	каждый	ADJF	inan	None	accs	masc	None	None	sing	None	None	None	None
из	из	PREP	None	None	None	None	None	None	None	None	None	None	None
них	они	NPRO	None	None	gent	None	None	None	plur	3per	None	None	None
салют	салют	NOUN	inan	None	nomn	masc	None	None	sing	None	None	None	None
в	в	PREP	None	None	None	None	None	None	None	None	None	None	None
честь	честь	NOUN	inan	None	accs	femn	None	None	sing	None	None	None	None
той	тот	ADJF	None	None	ablt	femn	None	None	sing	None	None	None	None
единственной	единственный	ADJF	None	None	ablt	femn	None	None	sing	None	None	None	None
в	в	PREP	None	None	None	None	None	None	None	None	None	None	None
честь	честь	NOUN	inan	None	accs	femn	None	None	sing	None	None	None	None
сегодня	сегодня	ADVB	None	None	None	None	None	None	None	None	None	None	None
при	при	PREP	None	None	None	None	None	None	None	None	None	None	None
первом	первое	NOUN	inan	None	loct	neut	None	None	sing	None	None	None	None
ходе	ход	NOUN	inan	None	loct	masc	None	None	sing	None	None	None	None
=	=	None	None	None	None	None	None	None	None	None	None	None	None
выстреле	выстрел	NOUN	inan	None	loct	masc	None	None	sing	None	None	None	None
под	под	PREP	None	None	None	None	None	None	None	None	None	None	None
дулом	дуло	NOUN	inan	None	ablt	neut	None	None	sing	None	None	None	None
двигателя	двигатель	NOUN	inan	None	gent	masc	None	None	sing	None	None	None	None
оказался	оказаться	VERB	None	perf	None	masc	None	indc	sing	None	past	intr	None
с	с	PREP	None	None	None	None	None	None	None	None	None	None	None
десяток	десятка	NOUN	inan	None	gent	femn	None	None	plur	None	None	None	None
зазевавшихся	зазеваться	PRTF	None	perf	gent	None	None	None	plur	None	past	intr	actv
нумёров	нумер	NOUN	inan	None	gent	masc	None	None	plur	None	None	None	None
из	из	PREP	None	None	None	None	None	None	None	None	None	None	None
нашего	наш	ADJF	None	None	gent	neut	None	None	sing	None	None	None	None
эллинга	эллинг	NOUN	inan	None	gent	masc	None	None	sing	None	None	None	None
от	от	PREP	None	None	None	None	None	None	None	None	None	None	None
них	они	NPRO	None	None	gent	None	None	None	plur	3per	None	None	None
ровно	ровно	ADVB	None	None	None	None	None	None	None	None	None	None	None
ничего	ничто	NPRO	None	None	gent	neut	None	None	sing	None	None	None	None
не	не	PRCL	None	None	None	None	None	None	None	None	None	None	None
осталось	остаться	VERB	None	perf	None	neut	None	indc	sing	None	past	intr	None
кроме	кроме	PREP	None	None	None	None	None	None	None	None	None	None	None
каких-то	какой-то	ADJF	None	None	gent	None	None	None	plur	None	None	None	None
крошек	крошка	NOUN	inan	None	gent	femn	None	None	plur	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
сажи	сажи	NOUN	anim	None	nomn	femn	None	None	sing	None	None	None	None
с	с	PREP	None	None	None	None	None	None	None	None	None	None	None
гордостью	гордость	NOUN	inan	None	ablt	femn	None	None	sing	None	None	None	None
записываю	записывать	VERB	None	impf	None	None	None	indc	sing	1per	pres	tran	None
здесь	здесь	ADVB	None	None	None	None	None	None	None	None	None	None	None
что	что	CONJ	None	None	None	None	None	None	None	None	None	None	None
ритм	ритм	NOUN	inan	None	nomn	masc	None	None	sing	None	None	None	None
нашей	наш	ADJF	None	None	gent	femn	None	None	sing	None	None	None	None
работы	работа	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
не	не	PRCL	None	None	None	None	None	None	None	None	None	None	None
споткнулся	споткнуться	VERB	None	perf	None	masc	None	indc	sing	None	past	intr	None
от	от	PREP	None	None	None	None	None	None	None	None	None	None	None
этого	это	NPRO	None	None	gent	neut	None	None	sing	None	None	None	None
ни	ни	PRCL	None	None	None	None	None	None	None	None	None	None	None
на	на	PREP	None	None	None	None	None	None	None	None	None	None	None
секунду	секунда	NOUN	inan	None	accs	femn	None	None	sing	None	None	None	None
никто	никто	NPRO	None	None	nomn	None	None	None	sing	None	None	None	None
не	не	PRCL	None	None	None	None	None	None	None	None	None	None	None
вздрогнул	вздрогнуть	VERB	None	perf	None	masc	None	indc	sing	None	past	intr	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
мы	мы	NPRO	None	None	nomn	None	None	None	plur	1per	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
наши	наш	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
станки	станок	NOUN	inan	None	nomn	masc	None	None	plur	None	None	None	None
продолжали	продолжать	VERB	None	impf	None	None	None	indc	plur	None	past	tran	None
своё	свой	ADJF	None	None	accs	neut	None	None	sing	None	None	None	None
прямолинейное	прямолинейный	ADJF	None	None	nomn	neut	None	None	sing	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
круговое	круговой	ADJF	None	None	nomn	neut	None	None	sing	None	None	None	None
движение	движение	NOUN	inan	None	nomn	neut	None	None	sing	None	None	None	None
всё	весь	ADJF	None	None	nomn	None	None	None	plur	None	None	None	None
с	с	PREP	None	None	None	None	None	None	None	None	None	None	None
той	тот	ADJF	None	None	ablt	femn	None	None	sing	None	None	None	None
же	же	PRCL	None	None	None	None	None	None	None	None	None	None	None
точностью	точность	NOUN	inan	None	ablt	femn	None	None	sing	None	None	None	None
как	как	CONJ	None	None	None	None	None	None	None	None	None	None	None
будто	будто	CONJ	None	None	None	None	None	None	None	None	None	None	None
бы	бы	PRCL	None	None	None	None	None	None	None	None	None	None	None
ничего	ничто	NPRO	None	None	gent	neut	None	None	sing	None	None	None	None
не	не	PRCL	None	None	None	None	None	None	None	None	None	None	None
случилось	случиться	VERB	None	perf	None	neut	None	indc	sing	None	past	intr	None
десять	десять	NUMR	None	None	nomn	None	None	None	None	None	None	None	None
нумёров	нумер	NOUN	inan	None	gent	masc	None	None	plur	None	None	None	None
это	это	PRCL	None	None	None	None	None	None	None	None	None	None	None
едва	едва	ADVB	None	None	None	None	None	None	None	None	None	None	None
ли	ли	PRCL	None	None	None	None	None	None	None	None	None	None	None
одна	один	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
стомиллионная	стомиллионный	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
часть	часть	NOUN	inan	None	nomn	femn	None	None	sing	None	None	None	None
массы	масса	NOUN	inan	None	gent	femn	None	None	sing	None	None	None	None
единого	единый	ADJF	None	None	gent	neut	None	None	sing	None	None	None	None
государства	государство	NOUN	inan	None	gent	neut	None	None	sing	None	None	None	None
при	при	PREP	None	None	None	None	None	None	None	None	None	None	None
практических	практический	ADJF	None	None	gent	None	None	None	plur	None	None	None	None
расчётах	расчёт	NOUN	inan	None	loct	masc	None	None	plur	None	None	None	None
это	это	PRCL	None	None	None	None	None	None	None	None	None	None	None
бесконечно	бесконечно	ADVB	None	None	None	None	None	None	None	None	None	None	None
малая	малый	ADJF	None	None	nomn	femn	None	None	sing	None	None	None	None
третьего	третье	NOUN	inan	None	gent	neut	None	None	sing	None	None	None	None
порядка	порядок	NOUN	inan	None	gent	masc	None	None	sing	None	None	None	None
арифметически-безграмотную	арифметически-безграмотный	ADJF	None	None	accs	femn	None	None	sing	None	None	None	None
жалость	жалость	NOUN	inan	None	nomn	femn	None	None	sing	None	None	None	None
знали	знать	VERB	None	impf	None	None	None	indc	plur	None	past	tran	None
только	только	PRCL	None	None	None	None	None	None	None	None	None	None	None
древние	древние	NOUN	anim	None	nomn	None	None	None	plur	None	None	None	None
нам	мы	NPRO	None	None	datv	None	None	None	plur	1per	None	None	None
она	она	NPRO	None	None	nomn	femn	None	None	sing	3per	None	None	None
смешна	смешной	ADJS	None	None	None	femn	None	None	sing	None	None	None	None
и	и	CONJ	None	None	None	None	None	None	None	None	None	None	None
мне	я	NPRO	None	None	datv	None	None	None	sing	1per	None	None	None
смешно	смешно	ADVB	None	None	None	None	None	None	None	None	None	None	None
что	что	CONJ	None	None	None	None	None	None	None	None	None	None	None
вчера	вчера	ADVB	None	None	None	None	None	None	None	None	None	None	None
